Car_id,Bus_model
9904F3319E988FF5,C364D5CFCE27A115
58D5BB177B1DBC06,A548C152FF0DE9AB
9C249848B2D8265C,75556553A5F08E4C
9C249848B2D8265C,75556553A5F08E4C
FB4C237FFFDDDA50,99BA9780D7CEBA09
479F5325B7E1D25C,897D8CD74D249C84
4C57774D2DCB041E,BECA51082AEC472A
F63AED0A69695381,897D8CD74D249C84
0D3A8C4DB791F151,5BD6A4EE56A73320
2445B87F0CC79FA9,C364D5CFCE27A115
AABF136F56D4CCE4,99BA9780D7CEBA09
341FF712A7C6B5B8,5CE8EFB41E0515D7
496553454B034FCC,368BB2EF1243A436
496553454B034FCC,368BB2EF1243A436
064651EB8FFAC4DF,460ABAE584E27A2A
D0BC3F1E811D74AB,99BA9780D7CEBA09
D0BC3F1E811D74AB,99BA9780D7CEBA09
A5D36D27EDA2B075,99BA9780D7CEBA09
5FF7D02E13C38186,5BD6A4EE56A73320
D108B541151ABCBB,5BD6A4EE56A73320
26CE8467374DF331,897D8CD74D249C84
5A60A4C2DEB3C14E,5BD6A4EE56A73320
98AECF1BCD00C8FF,5CE8EFB41E0515D7
833D6ADB6BBCBDB7,5CE8EFB41E0515D7
86D7822C925A809A,368BB2EF1243A436
A4597461B78F76DA,C364D5CFCE27A115
82B43E7D2044B940,C364D5CFCE27A115
648974566CF02166,5CE8EFB41E0515D7
C70DC119A9CB1A30,C364D5CFCE27A115
F46744769977690F,C364D5CFCE27A115
862696C92AE9683A,5BD6A4EE56A73320
2DB5E824F7AE5AC5,99BA9780D7CEBA09
D68C7A908D34AA7F,368BB2EF1243A436
6698DD04AF844CAC,C364D5CFCE27A115
F7991FD85558520D,368BB2EF1243A436
F7991FD85558520D,368BB2EF1243A436
B3E1B97160709E75,BECA51082AEC472A
EC27712403BEBC93,5BD6A4EE56A73320
B1F8BC634E87529D,460ABAE584E27A2A
20A3FCBFB0682929,C364D5CFCE27A115
BE012BA304E77647,368BB2EF1243A436
F4AA29A3B30455B6,460ABAE584E27A2A
A859F9034F00C428,5CE8EFB41E0515D7
C556725159B6368C,460ABAE584E27A2A
520CFFC8E68C8307,368BB2EF1243A436
8BF637BCF96CDE57,460ABAE584E27A2A
4B94A110023A5CB6,5CE8EFB41E0515D7
BC35CEC364924F63,460ABAE584E27A2A
4D9E3B3EC2332E29,C364D5CFCE27A115
83B3AFC7E67BBCD6,5CE8EFB41E0515D7
B0E5630DEB1BD8F3,C364D5CFCE27A115
544DD6A97144C24D,5CE8EFB41E0515D7
855C09ACBBF34D9B,C9B79EBF778FE972
B8BFEDD509B2C889,BECA51082AEC472A
67BC5619802C6E85,5BD6A4EE56A73320
2CC767DED2414E25,5BD6A4EE56A73320
3EAF59978B90F4FD,99BA9780D7CEBA09
E641C291CB7D60A3,99BA9780D7CEBA09
EC1F34E0DDB09ABC,5BD6A4EE56A73320
0C49842B4616BB97,5BD6A4EE56A73320
7BA0A850F41ED9F8,BECA51082AEC472A
903E7286F4DC8DBA,368BB2EF1243A436
81918C55F23CC06C,5BD6A4EE56A73320
5536B26BBE094A3A,A548C152FF0DE9AB
9965D0CA15EFB344,368BB2EF1243A436
82FE11638CDAB4D2,137346825DFD71FE
713480279996602A,368BB2EF1243A436
665A90D6F7E6F772,5CE8EFB41E0515D7
6011F3B45E039603,368BB2EF1243A436
BB1B53D3E7F4EBD3,5BD6A4EE56A73320
22DF8F4FDF6ED64F,5CE8EFB41E0515D7
B27A63B78AD9ABA2,C364D5CFCE27A115
223403AC096C05DE,5CE8EFB41E0515D7
A3FA68A33A345082,99BA9780D7CEBA09
B50BEFDAB7A5C877,5BD6A4EE56A73320
8E5DD486D98093FC,5BD6A4EE56A73320
3A806C47AEAE4437,C364D5CFCE27A115
FDB6EFAEA5196889,5BD6A4EE56A73320
9AA0D8A1DAADEECD,99BA9780D7CEBA09
9C93FB847B1E0E66,5BD6A4EE56A73320
FC2FC593A410A6C6,368BB2EF1243A436
7600D850B0516805,368BB2EF1243A436
F5FD7CDA25C15C2F,99BA9780D7CEBA09
C0B2C80CC94E2FBA,368BB2EF1243A436
C0B2C80CC94E2FBA,368BB2EF1243A436
56B25AAAC0FCD6D7,368BB2EF1243A436
E33AC6CD90E27D28,368BB2EF1243A436
9B04D99BD14F76D9,368BB2EF1243A436
27CAB3E3FFB9AF52,A548C152FF0DE9AB
30E3643C7E1DA1BB,368BB2EF1243A436
E4C787A6C172C342,368BB2EF1243A436
6E3383E66DFF5B58,99BA9780D7CEBA09
76FB3E1F9D040BCD,75556553A5F08E4C
76FB3E1F9D040BCD,75556553A5F08E4C
F4DF2FDE6E14361B,C364D5CFCE27A115
DC613576A954E3A6,5BD6A4EE56A73320
3716533C5653E1EE,5BD6A4EE56A73320
FCBA1A9AE1F9FF85,5CE8EFB41E0515D7
35F3E2786C8B0D01,5BD6A4EE56A73320
382CFFEAE733104C,368BB2EF1243A436
382CFFEAE733104C,368BB2EF1243A436
96778F26954AF258,368BB2EF1243A436
DAA8B8B4CCB555F2,460ABAE584E27A2A
